"","Name","commonName","Stage","Group","Order","Family","Species","Lagoon","Year","Year2","Kgs"
"94","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1985-86",1985,2103
"95","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1985-86",1985,682
"96","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1986-87",1986,4652
"97","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1986-87",1986,10027
"98","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1986-87",1986,1660
"99","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1986-87",1986,3214
"100","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1986-87",1986,810
"101","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1989-90",1989,2565
"102","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1989-90",1989,3664
"103","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1989-90",1989,2713
"104","Anguila palangre","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1989-90",1989,73
"105","Anguila palangre","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1989-90",1989,31.3
"106","Anguila palangre","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1989-90",1989,19
"107","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1989-90",1989,3272
"108","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1989-90",1989,2372.7
"109","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1989-90",1989,585
"110","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1990-91",1990,829
"111","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1990-91",1990,3193
"112","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1990-91",1990,2800
"113","Anguila mezclada (una mica de tot)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1990-91",1990,195.1
"114","Anguila palangre","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1990-91",1990,40.3
"115","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1990-91",1990,1828
"116","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1990-91",1990,2624
