"","Year2","spp","model","fit","se","upper","lower"
"133",2005,"Mullet ind.","modS_fit",2331.94820591187,0.186955145477334,3389.26928848352,1604.47045430513
"134",2006,"Mullet ind.","modS_fit",2372.62018011937,0.198424937090661,3528.40095081546,1595.43277467054
"135",2007,"Mullet ind.","modS_fit",2441.02654207955,0.211861041360211,3729.00241013019,1597.91009063167
"136",2008,"Mullet ind.","modS_fit",2537.58604140907,0.226835875171044,3994.36653455901,1612.10616548115
"137",2009,"Mullet ind.","modS_fit",2669.18440933908,0.242071097145553,4331.50542747841,1644.81968921515
"138",2010,"Mullet ind.","modS_fit",2834.71274533285,0.256853911439791,4738.15789549282,1695.93258092905
"139",1965,"Sparus aurata","modS_fit",383.781892348719,0.25896605995796,644.198251363131,228.638529494763
"140",1966,"Sparus aurata","modS_fit",397.796529285606,0.244500268650918,648.68107036196,243.944344827846
"141",1967,"Sparus aurata","modS_fit",411.155917780903,0.229732814747484,650.953449852476,259.69474278778
"142",1968,"Sparus aurata","modS_fit",423.531921901904,0.215428191699059,651.635444298602,275.275524742209
"143",1969,"Sparus aurata","modS_fit",435.164506746788,0.202854842216547,652.906426048338,290.038725883447
"144",1970,"Sparus aurata","modS_fit",446.289061347897,0.192441317741758,655.79582438277,303.713318800478
"145",1971,"Sparus aurata","modS_fit",457.533598426376,0.18448021533934,661.698988170856,316.362874103316
"146",1972,"Sparus aurata","modS_fit",469.961343434518,0.17888216288921,672.105128218101,328.614758391051
"147",1973,"Sparus aurata","modS_fit",484.470999295024,0.175349927612688,687.978390159722,341.162095372543
"148",1974,"Sparus aurata","modS_fit",501.660862752461,0.173477221432108,709.725845272726,354.592724632759
"149",1975,"Sparus aurata","modS_fit",521.910746026954,0.172611455571193,737.097001179284,369.545428054397
"150",1976,"Sparus aurata","modS_fit",545.330613480063,0.172280077335444,769.662722104821,386.384151729828
"151",1977,"Sparus aurata","modS_fit",571.981678714282,0.172233529692526,807.202059163922,405.305012630511
"152",1978,"Sparus aurata","modS_fit",602.093498626333,0.172287119477259,849.788067069419,426.596459912968
"153",1979,"Sparus aurata","modS_fit",636.08290886672,0.172472827479604,898.093847119703,450.511344944578
"154",1980,"Sparus aurata","modS_fit",674.741003041087,0.172848458510982,953.391698109251,477.53239522411
"155",1981,"Sparus aurata","modS_fit",719.169128739333,0.173357884658209,1017.20335021458,508.457070675779
"156",1982,"Sparus aurata","modS_fit",770.280145013278,0.174027205636224,1090.95494133386,543.864351607626
"157",1983,"Sparus aurata","modS_fit",828.656523537996,0.174857280867894,1175.58397693815,584.111086466606
"158",1984,"Sparus aurata","modS_fit",894.605207226403,0.175725986551801,1271.3498446593,629.50294929329
"159",1985,"Sparus aurata","modS_fit",967.953630009041,0.176546889301217,1377.84775356967,679.998372403853
"160",1986,"Sparus aurata","modS_fit",1048.27442049193,0.177196636466707,1494.12189962443,735.468278012598
"161",1987,"Sparus aurata","modS_fit",1135.26192399059,0.177240810518412,1618.24950957188,796.428256853786
"162",1988,"Sparus aurata","modS_fit",1228.35856894589,0.176942133325523,1749.90770756355,862.253916238612
"163",1989,"Sparus aurata","modS_fit",1326.65820966255,0.176282125985567,1887.45131409766,932.48604195465
"164",1990,"Sparus aurata","modS_fit",1428.67747745344,0.174957738795157,2027.21849302679,1006.85710080277
"165",1991,"Sparus aurata","modS_fit",1531.48279552315,0.173366735306815,2166.19004347252,1082.74874591499
"166",1992,"Sparus aurata","modS_fit",1630.66793056953,0.171608285801167,2298.38401964679,1156.93368778145
"167",1993,"Sparus aurata","modS_fit",1720.85886627633,0.169757093070427,2416.54224294568,1225.45146739586
"168",1994,"Sparus aurata","modS_fit",1795.65731340992,0.167939272368018,2512.42818768128,1283.37406936128
"169",1995,"Sparus aurata","modS_fit",1847.86999235711,0.166189057017008,2576.4480725482,1325.32207617003
"170",1996,"Sparus aurata","modS_fit",1872.10866761684,0.164548431576147,2601.69274372969,1347.11943668712
"171",1997,"Sparus aurata","modS_fit",1867.81014449049,0.163173415186347,2588.59052645619,1347.72753751736
"172",1998,"Sparus aurata","modS_fit",1839.13391190978,0.162148810525896,2543.63047606778,1329.7582246166
