"","Name","commonName","Stage","Group","Order","Family","Species","Lagoon","Year","Year2","Kgs"
"363","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Tancada","1986-87",1986,500
"364","Lubina grande","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Tancada","1986-87",1986,248
"365","Lubina pequeña","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Tancada","1986-87",1986,700
"366","Llisa","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Tancada","1986-87",1986,3270
"367","Llisa","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Tancada","1986-87",1986,3270
"368","Crancs","Mediterranean green crab","Adult","Crustaceans","Decapoda","Portunidae","Carcinus aestuarii","Tancada","1986-87",1986,1820
"369","Dorada","Sea bream","Adult","Fish","Perciformes","Sparidae","Sparus aurata","Tancada","1986-87",1986,2050
"370","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1986-87",1986,4652
"371","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2000-01",2000,918
"372","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Canal vell","2000-01",2000,30
"373","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Canal vell","2000-01",2000,2100
"374","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1986-87",1986,26
"375","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Encanyissada","1986-87",1986,1210
"376","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Canal vell","2000-01",2000,1860
"377","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Encanyissada","1986-87",1986,2171
"378","Retallat","Retallat?","Ind1","Ind1","Ind1","Ind1","Ind1","Encanyissada","1986-87",1986,311
"379","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Canal vell","2000-01",2000,3100
"380","Lubina grande","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Encanyissada","1986-87",1986,389
"381","Lubina pequeña","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Encanyissada","1986-87",1986,1965
"382","Calua","Thinlip mullet","Adult","Fish","Mugiliformes ","Mugilidae","Liza ramada","Encanyissada","1986-87",1986,12
"383","Cabeçut","Grey mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mugil cephalus","Encanyissada","1986-87",1986,1821
"384","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1998-99",1998,5000
"385","Llisa","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Encanyissada","1986-87",1986,5779
"386","Llangosti","Triple-grooved shrimp","Adult","Crustaceans","Decapoda","Penaeidae","Penaeus kerathurus","Encanyissada","1986-87",1986,66
"387","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1998-99",1998,313
"388","Crancs","Mediterranean green crab","Adult","Crustaceans","Decapoda","Portunidae","Carcinus aestuarii","Encanyissada","1986-87",1986,190
"389","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Canal vell","1998-99",1998,1600
"390","Palai","Eckstroms topknot","Adult","Fish","Pleuronectiformes","Scophthalmidae","Phrynorhombus regius + Other sp.","Encanyissada","1986-87",1986,221
"391","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Canal vell","1998-99",1998,5120
"392","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1997-98",1997,1061
"393","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1989-90",1989,2713
"394","Anguila palangre","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1989-90",1989,19
"395","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1989-90",1989,585
"396","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1989-90",1989,167.05
"397","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Tancada","1989-90",1989,41.5
"398","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Tancada","1989-90",1989,122.8
"399","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Tancada","1989-90",1989,1789.6
"400","Llobet","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Tancada","1989-90",1989,2696.9
"401","Cabeçut","Grey mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mugil cephalus","Tancada","1989-90",1989,3394.1
"402","Llisal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Tancada","1989-90",1989,14.5
"403","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Tancada","1989-90",1989,587.3
"404","Crancs","Mediterranean green crab","Adult","Crustaceans","Decapoda","Portunidae","Carcinus aestuarii","Tancada","1989-90",1989,1563.5
"405","Muixarra","Sea bream","Adult","Fish","Perciformes","Sparidae","Sparus aurata","Tancada","1989-90",1989,415.8
"406","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1997-98",1997,6053
"407","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1989-90",1989,3664
"408","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1997-98",1997,616
"409","Anguila palangre","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1989-90",1989,31.3
"410","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Canal vell","1997-98",1997,156
"411","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1989-90",1989,2372.7
"412","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Canal vell","1997-98",1997,1088
"413","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1989-90",1989,130.5
"414","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Canal vell","1997-98",1997,3766
"415","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Encanyissada","1989-90",1989,506.9
"416","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Canal vell","1997-98",1997,3848
"417","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Encanyissada","1989-90",1989,2697.7
"418","Llobaret","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Encanyissada","1989-90",1989,31.9
"419","Dorada","Sea bream","Adult","Fish","Perciformes","Sparidae","Sparus aurata","Canal vell","1997-98",1997,200
"420","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Encanyissada","1989-90",1989,1965.9
"421","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1996-97",1996,7155
"422","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Encanyissada","1989-90",1989,12664.6
"423","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1996-97",1996,692
"424","Crancs","Mediterranean green crab","Adult","Crustaceans","Decapoda","Portunidae","Carcinus aestuarii","Encanyissada","1989-90",1989,222.2
"425","Ullada","Albacore","Adult","Fish","Perciformes","Scombridae","Thunnus alalunga","Encanyissada","1989-90",1989,34
"426","Palaes","Eckstroms topknot","Adult","Fish","Pleuronectiformes","Scophthalmidae","Phrynorhombus regius + Other sp.","Encanyissada","1989-90",1989,43.3
"427","Muixarra","Sea bream","Adult","Fish","Perciformes","Sparidae","Sparus aurata","Encanyissada","1989-90",1989,7
"428","Anguila mezclada (una mica de tot)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1990-91",1990,195.1
"429","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1990-91",1990,154.3
"430","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Goleta","1990-91",1990,88
"431","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Goleta","1990-91",1990,57.21
"432","Llisa","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Goleta","1990-91",1990,1426.7
"433","Palaes","Eckstroms topknot","Adult","Fish","Pleuronectiformes","Scophthalmidae","Phrynorhombus regius + Other sp.","Goleta","1990-91",1990,1.1
