Maximum_length;Maximum_weight;Maximum_longevity;Rheophily;Limnophily;Long_migration;Potamodromy;Benthic;Water_column;Invertivory;Omnivory;Piscivory;Tolerance;Intolerance;Fusiform_shape;Elongated_form;Eel-like_form;Reproductive_span;Lithophily;Phytophily;Mean_fecundity;Maximum_fecundity;Egg_size;Parental_care;Age_maturity;Length_maturity;Single_spawning;Species;Database
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salaria fluviatilis;2
;;;1;0;;;0;1;1;0;0;0;0;;;;;1;0;;;;;;;;Salmo salar;2
;;;1;0;;;0;1;1;0;0;0;1;;;;;1;0;;;;;;;;Salmo trutta;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus fontinalis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;2
;;;0;0;;;0;1;0;0;1;0;0;;;;;0;1;;;;;;;;Sander lucioperca;2
;;;0;1;;;0;1;0;1;0;0;0;;;;;0;1;;;;;;;;Scardinius erythrophthalmus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Silurus glanis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius alburnoides;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius aradensis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius carolitertii;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;2
;;;0;0;;;0;1;0;1;0;1;0;;;;;1;0;;;;;;;;Squalius laietanus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius palaciosi;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius pyrenaicus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Syngnathus abaster;2
;;;0;1;;;1;0;0;1;0;0;0;;;;;0;1;;;;;;;;Tinca tinca;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Valencia hispanica;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma arcasii;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;3
;;;1;0;;;;;;;1;;;;;;;1;0;;;;;;;;Acipenser sturio;3
;;;0;0;;;;;;;0;;;;;;;0;0;;;;;;;;Alburnus alburnus;3
;;;1;0;;;;;;;0;;;;;;;0;0;;;;;;;;Alosa alosa;3
;;;1;0;;;;;;;0;;;;;;;0;0;;;;;;;;Alosa fallax;3
;;;0;1;;;;;;;1;;;;;;;0;0;;;;;;;;Ameiurus melas;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaecypris hispanica;3
;;;0;0;;;;;;;1;;;;;;;0;0;;;;;;;;Anguilla anguilla;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius iberus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Atherina boyeri;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Australoheros facetus;3
;;;1;0;;;;;;;0;;;;;;;0;0;;;;;;;;Barbatula barbatula;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus haasi;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus meridionalis;3
;;;0;0;;;;;;;0;;;;;;;0;1;;;;;;;;Blicca bjoerkna;3
;;;0;0;;;;;;;0;;;;;;;0;1;;;;;;;;Carassius auratus;3
;;;0;0;;;;;;;0;;;;;;;0;1;;;;;;;;Carassius gibelio;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis bilineata;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis calderoni;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis paludica;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis vettonica;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;3
;;;0;0;;;;;;;0;;;;;;;0;1;;;;;;;;Cyprinus carpio;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;3
;;;0;0;;;;;;;1;;;;;;;0;1;;;;;;;;Esox lucius;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Fundulus heteroclitus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gambusia holbrooki;3
;;;0;0;;;;;;;0;;;;;;;0;0;;;;;;;;Gasterosteus aculeatus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio lozanoi;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio occitaniae;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Hucho hucho;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma almacai;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lemmingii;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lusitanicum;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma olisiponensis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma oretanum;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Ictalurus punctatus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra alavariensis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra auremensis;3
;;;1;0;;;;;;;0;;;;;;;1;0;;;;;;;;Lampetra fluviatilis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra lusitanica;3
;;;1;0;;;;;;;0;;;;;;;1;0;;;;;;;;Lampetra planeri;3
;;;0;0;;;;;;;1;;;;;;;0;0;;;;;;;;Lepomis gibbosus;3
;;;0;0;;;;;;;1;;;;;;;1;0;;;;;;;;Leuciscus aspius;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Liza aurata;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus bocagei;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus comizo;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus graellsii;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus guiraonis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus microcephalus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus sclateri;3
;;;0;1;;;;;;;1;;;;;;;0;0;;;;;;;;Micropterus salmoides;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Misgurnus anguillicaudatus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Mugil cephalus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus kisutch;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus mykiss;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma arrigonis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma miegii;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma turiense;3
;;;0;0;;;;;;;1;;;;;;;0;0;;;;;;;;Perca fluviatilis;3
