Maximum_length;Maximum_weight;Maximum_longevity;Rheophily;Limnophily;Long_migration;Potamodromy;Benthic;Water_column;Invertivory;Omnivory;Piscivory;Tolerance;Intolerance;Fusiform_shape;Elongated_form;Eel-like_form;Reproductive_span;Lithophily;Phytophily;Mean_fecundity;Maximum_fecundity;Egg_size;Parental_care;Age_maturity;Length_maturity;Single_spawning;Species;Database
600;1849459.9;48;;;;;;;;;;;;;;;;;;1050000;;2.4;;13.4;;1;Acipenser sturio;7
25;120;;;;;;;;;;;;;;;;;;;5140;;1.4;0;2.5;;1;Alburnus alburnus;7
83;5935.8;10;;;;;;;;;;;;;;;;;;214481;;1.6;0;5.5;;1;Alosa alosa;7
60;2122;11;;;;;;;;;;;;;;;;;;74972;;1.5;0;3.3;;1;Alosa fallax;7
46;1474;9;;;;;;;;;;;;;;;;;;3070;;;1;3;;1;Ameiurus melas;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaecypris hispanica;7
200;5060;14;;;;;;;;;;;;;;;;;;;;;0;9;;;Anguilla anguilla;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;7
5;1.3;;;;;;;;;;;;;;;;;;;;;;;1;;;Aphanius iberus;7
14;29.8;5;;;;;;;;;;;;;;;;;;321;;1.6;0;1.3;;1;Atherina boyeri;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Australoheros facetus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula barbatula;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;7
30;303.8;;;;;;;;;;;;;;;;;;;3700;;;;;;1;Barbus haasi;7
22;113.1;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus meridionalis;7
35;1250;10;;;;;;;;;;;;;;;;;;30000;;1.5;0;3;;1;Blicca bjoerkna;7
50;5000;9.5;;;;;;;;;;;;;;;;;;17626;;1;0;4.6;;1;Carassius auratus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Carassius gibelio;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis bilineata;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis calderoni;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis paludica;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis vettonica;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;7
110;37400;20;;;;;;;;;;;;;;;;;;334000;;;0;3;;1;Cyprinus carpio;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Esox lucius;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Fundulus heteroclitus;7
6;2.3;1.1;;;;;;;;;;;;;;;;;;58;;;1;0.3;;1;Gambusia holbrooki;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gasterosteus aculeatus;7
;225;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio lozanoi;7
;225;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio occitaniae;7
125;105000;50;;;;;;;;;;;;;;;;;;13038;;;;4.6;;1;Hucho hucho;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma almacai;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lemmingii;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lusitanicum;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma olisiponensis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma oretanum;7
127;24948;24;;;;;;;;;;;;;;;;;;10096;;;1;4.1;;1;Ictalurus punctatus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra alavariensis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra auremensis;7
49;150;7;;;;;;;;;;;;;;;;;;17821;;0.8;1;7.1;;1;Lampetra fluviatilis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra lusitanica;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra planeri;7
40;625;10;;;;;;;;;;;;;;;;;;6395;;;1;1.4;;1;Lepomis gibbosus;7
120;12000;;;;;;;;;;;;;;;;;;;170000;;;0;3.6;;1;Leuciscus aspius;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Liza aurata;7
52;1751.7;11;;;;;;;;;;;;;;;;;;20000;;;;6.1;;1;Luciobarbus bocagei;7
93;11158.8;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus comizo;7
47;1269.5;16;;;;;;;;;;;;;;;;;;;;;;4.1;;;Luciobarbus graellsii;7
50;1546;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus guiraonis;7
50;1546;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus microcephalus;7
43;956.3;19;;;;;;;;;;;;;;;;;;13341;;2;;6.1;;1;Luciobarbus sclateri;7
94;10500;16;;;;;;;;;;;;;;;;;;17310;;1.6;1;1.8;;1;Micropterus salmoides;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Misgurnus anguillicaudatus;7
90;6000;13;;;;;;;;;;;;;;;;;;;;;;2;;;Mugil cephalus;7
102;12385.3;5;;;;;;;;;;;;;;;;;;2865;;5.2;0;3.6;;1;Oncorhynchus kisutch;7
122;24000;11;;;;;;;;;;;;;;;;;;2423;;;0;3.6;;1;Oncorhynchus mykiss;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma arrigonis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma miegii;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma turiense;7
51;4750;10;;;;;;;;;;;;;;;;;;48867;;;0;2.5;;1;Perca fluviatilis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Petromyzon marinus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus bigerri;7
50;1388.4;12;;;;;;;;;;;;;;;;;;1000000;;1;0;3.6;;1;Platichthys flesus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma duriense;7
40;1206.2;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma polylepis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma willkommii;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudorasbora parva;7
52;1751.7;13;;;;;;;;;;;;;;;;;;44265;;1.2;0;3;;1;Rutilus rutilus;7
15;36.7;;;;;;;;;;;;;;;;;;;245;;1;1;;;1;Salaria fluviatilis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salmo salar;7
112;18274;18;;;;;;;;;;;;;;;;;;1618;;4.9;0;3.3;;1;Salmo trutta;7
80;6577;15;;;;;;;;;;;;;;;;;;674;;4.3;0;2.2;;1;Salvelinus fontinalis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Sander lucioperca;7
45;1105.3;;;;;;;;;;;;;;;;;;;158000;;1.2;0;2.5;;1;Scardinius erythrophthalmus;7
500;306000;;;;;;;;;;;;;;;;;;;252000;;;1;4.6;;1;Silurus glanis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius alburnoides;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius aradensis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius carolitertii;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius laietanus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;7
20;83.5;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius palaciosi;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius pyrenaicus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Syngnathus abaster;7
70;4514.8;17.5;;;;;;;;;;;;;;;;;;144000;;1.1;0;3.6;;1;Tinca tinca;7
8;5.5;;;;;;;;;;;;;;;;;;;224;;;;;;1;Valencia hispanica;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma arcasii;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Acipenser sturio;8
;;;0;;;;;;0;1;;1;;;;;;0;;;;;;;;;Alburnus alburnus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa alosa;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa fallax;8
;;;0;;;;;;1;0;;0;;;;;;1;;;;;;;;;Ameiurus melas;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaecypris hispanica;8
;;;0;;;;;;1;0;;0;;;;;;0;;;;;;;;;Anguilla anguilla;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius iberus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Atherina boyeri;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Australoheros facetus;8
;;;0;;;;;;0;0;;1;;;;;;0;;;;;;;;;Barbatula barbatula;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus haasi;8
;;;1;;;;;;0;0;;0;;;;;;1;;;;;;;;;Barbus meridionalis;8
;;;0;;;;;;0;1;;1;;;;;;0;;;;;;;;;Blicca bjoerkna;8
;;;0;;;;;;0;1;;0;;;;;;0;;;;;;;;;Carassius auratus;8
;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;Carassius gibelio;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis bilineata;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis calderoni;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis paludica;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis vettonica;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;8
;;;0;;;;;;0;1;;0;;;;;;0;;;;;;;;;Cyprinus carpio;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;8
;;;0;;;;;;0;0;;0;;;;;;0;;;;;;;;;Esox lucius;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Fundulus heteroclitus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gambusia holbrooki;8
;;;0;;;;;;0;1;;1;;;;;;0;;;;;;;;;Gasterosteus aculeatus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio lozanoi;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio occitaniae;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Hucho hucho;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma almacai;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lemmingii;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lusitanicum;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma olisiponensis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma oretanum;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Ictalurus punctatus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra alavariensis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra auremensis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra fluviatilis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra lusitanica;8
;;;0;;;;;;0;0;;0;;;;;;1;;;;;;;;;Lampetra planeri;8
;;;0;;;;;;1;0;;0;;;;;;0;;;;;;;;;Lepomis gibbosus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Leuciscus aspius;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Liza aurata;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus bocagei;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus comizo;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus graellsii;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus guiraonis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus microcephalus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus sclateri;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Micropterus salmoides;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Misgurnus anguillicaudatus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Mugil cephalus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus kisutch;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus mykiss;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma arrigonis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma miegii;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma turiense;8
;;;0;;;;;;0;0;;0;;;;;;0;;;;;;;;;Perca fluviatilis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Petromyzon marinus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus bigerri;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Platichthys flesus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma duriense;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma polylepis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma willkommii;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudorasbora parva;8
;;;0;;;;;;0;1;;1;;;;;;0;;;;;;;;;Rutilus rutilus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salaria fluviatilis;8
;;;1;;;;;;1;0;;0;;;;;;1;;;;;;;;;Salmo salar;8
;;;1;;;;;;1;0;;0;;;;;;1;;;;;;;;;Salmo trutta;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus fontinalis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;8
;;;0;;;;;;0;0;;0;;;;;;0;;;;;;;;;Sander lucioperca;8
;;;0;;;;;;0;1;;0;;;;;;0;;;;;;;;;Scardinius erythrophthalmus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Silurus glanis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius alburnoides;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius aradensis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius carolitertii;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius laietanus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius palaciosi;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius pyrenaicus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Syngnathus abaster;8
;;;0;;;;;;0;1;;0;;;;;;0;;;;;;;;;Tinca tinca;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Valencia hispanica;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma arcasii;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Acipenser sturio;9
;;6.9;1;0;;;;;;;;;;;;;3.5;;;25244;;1.6;;;;;Alburnus alburnus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa alosa;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa fallax;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Ameiurus melas;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaecypris hispanica;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anguilla anguilla;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius iberus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Atherina boyeri;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Australoheros facetus;9
;;6.3;1;0;;;;;;;;;;;;;2.2;;;5768;;0.9;;;;;Barbatula barbatula;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus haasi;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus meridionalis;9
;;9.7;0;1;;;;;;;;;;;;;2.7;;;40200;;1.5;;;;;Blicca bjoerkna;9
;;5.5;0;1;;;;;;;;;;;;;2.8;;;26850;;1.3;;;;;Carassius auratus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Carassius gibelio;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis bilineata;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis calderoni;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis paludica;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis vettonica;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;9
;;10.7;0;1;;;;;;;;;;;;;3.6;;;365834;;1.4;;;;;Cyprinus carpio;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;9
;;10.4;0;1;;;;;;;;;;;;;1.6;;;49526;;2.6;;;;;Esox lucius;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Fundulus heteroclitus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gambusia holbrooki;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gasterosteus aculeatus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio lozanoi;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio occitaniae;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Hucho hucho;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma almacai;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lemmingii;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lusitanicum;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma olisiponensis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma oretanum;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Ictalurus punctatus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra alavariensis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra auremensis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra fluviatilis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra lusitanica;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra planeri;9
;;6.8;0;1;;;;;;;;;;;;;2.8;;;7485;;1;;;;;Lepomis gibbosus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Leuciscus aspius;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Liza aurata;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus bocagei;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus comizo;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus graellsii;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus guiraonis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus microcephalus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus sclateri;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Micropterus salmoides;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Misgurnus anguillicaudatus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Mugil cephalus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus kisutch;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus mykiss;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma arrigonis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma miegii;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma turiense;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Perca fluviatilis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Petromyzon marinus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus bigerri;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Platichthys flesus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma duriense;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma polylepis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma willkommii;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudorasbora parva;9
;;10.5;0;1;;;;;;;;;;;;;1.3;;;23909;;1.1;;;;;Rutilus rutilus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salaria fluviatilis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salmo salar;9
;;8.2;1;0;;;;;;;;;;;;;2.5;;;477;;4.3;;;;;Salmo trutta;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus fontinalis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;9
;;7.2;0;1;;;;;;;;;;;;;2.4;;;260000;;1;;;;;Sander lucioperca;9
;;11.8;0;1;;;;;;;;;;;;;1.8;;;71190;;1.5;;;;;Scardinius erythrophthalmus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Silurus glanis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius alburnoides;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius aradensis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius carolitertii;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius laietanus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius palaciosi;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius pyrenaicus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Syngnathus abaster;9
;;7.7;0;1;;;;;;;;;;;;;2.2;;;194645;;1;;;;;Tinca tinca;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Valencia hispanica;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;9
;;;;;;;;;0;0;0;;;;;;;;;;;;0;;;;Achondrostoma arcasii;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Acipenser sturio;10
;;;;;;;;;1;0;0;;;;;;;;;;;;0;;;;Alburnus alburnus;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa alosa;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa fallax;10
;;;;;;;;;0;1;0;;;;;;;;;;;;1;;;;Ameiurus melas;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaecypris hispanica;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anguilla anguilla;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius iberus;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Atherina boyeri;10
;;;;;;;;;0;1;0;;;;;;;;;;;;1;;;;Australoheros facetus;10
;;;;;;;;;1;0;0;;;;;;;;;;;;0;;;;Barbatula barbatula;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus haasi;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus meridionalis;10
;;;;;;;;;1;0;0;;;;;;;;;;;;0;;;;Blicca bjoerkna;10
;;;;;;;;;0;0;0;;;;;;;;;;;;0;;;;Carassius auratus;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Carassius gibelio;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;10
;;;;;;;;;1;0;0;;;;;;;;;;;;0;;;;Cobitis bilineata;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis calderoni;10
;;;;;;;;;1;0;0;;;;;;;;;;;;0;;;;Cobitis paludica;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis vettonica;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;10
;;;;;;;;;0;0;0;;;;;;;;;;;;0;;;;Cyprinus carpio;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;10
;;;;;;;;;0;0;1;;;;;;;;;;;;0;;;;Esox lucius;10
;;;;;;;;;1;0;0;;;;;;;;;;;;0;;;;Fundulus heteroclitus;10
;;;;;;;;;1;0;0;;;;;;;;;;;;1;;;;Gambusia holbrooki;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gasterosteus aculeatus;10
;;;;;;;;;1;0;0;;;;;;;;;;;;0;;;;Gobio lozanoi;10
