month;year;e;hr;evap;inso;n_cub;n_des;n_fog;n_gra;n_llu;n_nie;n_nub;n_tor;nt_00;nt_30;nw_55;nw_91;p_max;p_mes;p_sol;q_mar;q_max;q_med;q_min;w_med;w_rec;np_001;np_010;np_100;np_300;ta_max;ta_min;ti_max;tm_max;tm_mes;tm_min;ts_min;nv_0050;nv_0100;nv_1000;w_racha;indicativo;
12;2019;99;67;845;4,9;8;6;0;0;9;0;17;0;0;0;9;4;31,4(04);48,8;53;1018,2;1029,3(30);1012,2;990,9(21);11;263;7;4;1;1;23,3(24);2,8(28);9,9;17,1;12,8;8,3;17,4;0;0;0;30/30,0(13);9981A;20063
1;2020;88;73;474;5,7;6;7;1;2;4;0;18;2;2;0;2;0;137,2(21);241,2;60;1025,5;1028,7(01);1019,3;1011,5(21);9;197;6;5;4;2;22,8(31);-0,9(13);7,2;15,3;9,8;4,3;10,3;0;0;2;10/21,7(21);9981A;23559
2;2020;106;65;886;7,6;5;7;1;0;1;0;17;0;0;0;3;0;0,4(12);0,4;71;1024,8;1028,6(23);1018,7;1002,5(29);8;192;1;0;0;0;25,6(03);2,3(06);15,6;21,1;14,6;8,2;14,5;0;0;1;35/21,1(04);9981A;35256
3;2020;102;65;1027;5,9;12;1;1;0;12;0;18;1;0;0;11;1;13,6(31);55,4;50;1016,8;1024,0(17);1010,8;988,5(02);11;248;11;8;1;0;26,0(11);5,1(31);8,4;19;14,2;9,3;13,4;0;0;1;29/25,6(06);9981A;39355
4;2020;137;74;716;5,5;15;1;0;0;14;0;14;1;0;0;1;0;41,6(01);108,2;41;1015,8;1021,2(07);1009,9;997,7(21);8;186;12;9;5;1;25,9(30);4,9(04);11,4;21,6;16,2;10,9;15,2;0;0;0;07/15,3(01);9981A;47301
5;2020;167;61;1241;9,1;5;6;0;0;9;0;20;3;0;9;2;0;23,4(10);69,4;63;1016,3;1022,9(24);1010,5;996,3(10);10;207;9;7;3;0;32,7(22);12,8(11);17,6;27,8;21,7;15,7;19,3;0;0;0;28/16,4(01);9981A;71581
6;2020;186;62;1287;8,9;3;4;1;1;5;0;23;5;0;10;3;0;40,0(03);80,8;59;1014,1;1016,1(22);1008,3;995,3(12);11;224;6;4;2;2;33,6(22);13,4(14);23,6;28,9;23,2;17,5;22,6;0;0;0;29/18,9(04);9981A;71322
7;2020;208;53;2069;11,4;0;14;0;0;2;0;17;2;0;31;0;0;1,8(02);1,8;77;1015,8;1015,9(04);1010,2;1003,9(01);11;224;1;1;0;0;38,1(23);18,5(05);31,5;34,4;27,7;21,1;24,7;0;0;0;28/11,9(15);9981A;82025
8;2020;213;54;2051;10,3;0;9;0;0;5;0;22;3;0;29;5;0;4,0(12);4,8;75;1013,5;1015,0(23);1007,8;996,9(28);11;228;4;1;0;0;38,2(01);16,8(31);28,3;34,6;28;21,4;24;0;0;0;34/20,3(12);9981A;71149
9;2020;166;56;1707;8,6;2;8;0;0;4;0;20;2;0;20;5;1;4,0(24);8,4;69;1016,7;1019,1(04);1010,9;998,7(27);10;229;4;2;0;0;35,9(13);12,7(30);23,2;30,9;24,1;17,4;21,1;0;0;0;32/27,5(27);9981A;53722
10;2020;118;55;1444;7,8;2;6;0;0;2;0;23;0;0;1;8;0;4,8(02);5,6;71;1016,3;1020,9(29);1010,4;984,9(02);11;247;2;1;0;0;31,4(01);7,3(18);17,8;24,7;18,7;12,8;18,3;0;0;0;30/21,4(14);9981A;41181
11;2020;131;77;512;5,7;7;7;2;1;7;0;16;3;0;0;5;0;98,4(05);156,6;58;1022,4;1024,6(21);1016,4;998,5(28);8;178;8;6;2;2;28,0(01);3,2(22);14;20,2;15;9,7;16,3;0;0;0;30/21,7(20);9981A;24708
12;2020;85;63;942;5,7;2;3;1;1;8;0;26;1;0;0;12;1;4,4(11);13,8;61;1013,2;1022,7(21);1007,2;985,6(28);12;275;8;4;0;0;19,1(13);1,6(27);11,6;15,5;11,2;7;13,5;0;0;1;30/28,9(25);9981A;22144
