taxa_name,year,stratum,n_obs,depth,temp_bottom,weight,number
Gadus morhua,1982,228,15,252.7040498,2.16,68.33333333,32.73333333
Gadus morhua,1982,229,4,339.9052632,NA,10.975,7
Gadus morhua,1982,230,1,598.8876404,3.9,0,0
Gadus morhua,1982,231,2,844.5441176,3.95,0,0
Gadus morhua,1982,234,3,253.8105263,-0.1,121,59
Gadus morhua,1982,235,2,447.4358974,3.3,8.75,3
Gadus morhua,1982,236,2,842.6470588,3.8,0,0
Gadus morhua,1982,237,4,146.5833333,0.7,165.125,118.75
Gadus morhua,1982,341,4,129.7178218,-0.825,7.625,8.25
Gadus morhua,1982,342,3,142.9777778,-0.733333333,21.66666667,23.66666667
Gadus morhua,1982,343,1,155.7333333,-1.1,4,12
Gadus morhua,1982,344,4,217.3381643,NA,55.25,36.5
Gadus morhua,1982,345,7,309.3190476,NA,61.28571429,29
Gadus morhua,1982,346,4,315.9352941,2.275,64.875,36
Gadus morhua,1982,3472,5,216.1842105,NA,55,34.4
Gadus morhua,1982,348,6,162.5588235,NA,25.08333333,18.5
Gadus morhua,1982,3492,5,124.5551601,-0.78,20,9.4
Gadus morhua,1982,350,2,73.72093023,0.55,31,18.5
Gadus morhua,1982,3632,3,78.41762452,0.866666667,15.03333333,14.66666667
Gadus morhua,1982,364,11,119.6786704,-0.618181818,8.409090909,5.181818182
Gadus morhua,1982,365,4,159.6888889,-0.75,47.375,26.75
Gadus morhua,1982,3661,6,227.8495935,1.266666667,113.9166667,76.66666667
Gadus morhua,1982,368,2,325.699115,2,143.75,57
Gadus morhua,1982,369,4,223.2739726,0.825,31.75,19
Gadus morhua,1982,370,6,131.9820359,-0.6,4.5,4.166666667
Gadus morhua,1982,371,5,79.89808917,-0.3,16.2,12
Gadus morhua,1982,372,7,69.11051213,2.714285714,37.27142857,47
Gadus morhua,1982,384,4,75.11734694,1.2,12.9625,3.25
Gadus morhua,1982,385,8,132.3224756,-0.55,0.245,1.75
Gadus morhua,1982,386,4,224.9126984,NA,19.375,7.5
